id,name,monthly_income,bm_price,nr_monthly_bm,emoji_code
1,New Zealand,4091,4.23,967.14,
2,Argentina,966,2.71,356.46,
3,Australia,5070,4.52,1121.68,
4,United Kingdom,4103,4.23,969.98,
5,Luxembourg,7433,4.74,1568.14,
6,Germany,4503,4.74,950.00,
7,Ireland,6644,4.74,1401.69,
8,Netherlands,5019,4.74,1058.86,
9,South Korea,3016,4.03,748.39,
10,France,3774,4.74,796.20,
11,Belgium,4491,4.74,947.47,
12,Japan,3546,3.51,1010.26,
13,Poland,1575,2.74,574.82,
14,Canada,4443,5.07,876.33,
15,Israel,4595,4.68,981.84,
16,Hong Kong,4531,2.55,1776.86,
17,Saudi Arabia,2307,3.2,720.94,
18,Romania,1298,2.32,559.48,
19,Spain,2674,4.74,564.14,
20,Slovenia,2466,4.74,520.25,
21,Hungary,1584,3.07,515.96,
22,Lithuania,1989,4.74,419.62,
23,Czech Republic,2175,3.4,639.71,
24,United States,6398,5.51,1161.16,
25,Greece,1818,4.74,383.54,
26,Estonia,2260,4.74,476.79,
27,Portugal,2163,4.74,456.33,
28,Slovakia,1839,4.74,387.97,
29,Malaysia,986,2.1,469.52,
30,Latvia,1821,4.74,384.18,
31,Mexico,902,2.57,350.97,
32,Costa Rica,1077,4.03,267.25,
33,Chile,1280,4.05,316.05,
34,South Africa,565,2.32,243.53,
35,Ukraine,355,1.91,185.86,
36,Russia,1063,2.09,508.61,
37,Colombia,542,4.14,130.92,
38,Philippines,329,2.62,125.57,
39,Indonesia,382,2.19,174.43,
40,Moldova,458,2.58,177.52,
41,Azerbaijan,472,2.32,203.45,
42,Thailand,603,3.59,167.97,
43,Peru,450,3.21,140.19,
44,China,1071,3.1,345.48,
45,Brazil,678,4.4,154.09,
46,Kuwait,200,3.47,57.64,
47,Vietnam,334,2.82,118.44,
48,Pakistan,130,3.09,42.07,
49,India,199,2.51,79.28,
50,Sri Lanka,301,3.64,82.69,
